School,State,Coach
Adelphi  University,NY,Jennifer Henick
Adrian College,MI,Jaclynn Gray
Albion College,MI,Randi Gardner
Alfred State College,NY,Victoria Bolton
Alfred University,NY,Nancy Kohler
Allegheny College,PA,Halli Bidwell
Alma College,MI,Emily Pittman
American University,DC,Star Dalley
Amherst College,MA,Beth Manning
Appalachian State University,NC,Sarah Klassett
Arcadia University,PA,Amber Jewell
Arizona State University,AZ,Rachel Jansen
Assumption College,MA,Joy Sigona
Auburn University,AL,Lisa Dorsey
Augustana College,IL,Julie Mann
Ave Maria University,FL,Katie O'Hare
Averett University,VA,Cricket Stone
Ball State University,IN,Tammie Jones
Bard College,NY,Sharon Bach
Bates College,ME,Stephanie Plaisted
Becker College,MA,Nicole Eastman
Belmont University,TN,Beth Bankemper
Bennington College,VT,Tara Lowary
Bentley University,MA,Melissa Consalvo
Berry College,GA,Margaret Knight
Bethany College,WV,Beth Johnson
Binghamton University,NY,"Mary Celeste ""Mimi"" Penfield"
Black Hawk College,IL,Donna Irvin
Bloomsburg University,PA,Amie Wolfinger
Boston College,MA,Sheila Dunham
Boston University,MA,Phyllis Cervelli
Bowdoin College,ME,Virginia Shaw
Bowling Green State University,OH,Jill Jewett
Brandeis University,MA,Katie Bobola
Bridgewater College,VA,Jerry Schurink
Bridgewater State University,MA,Geraldine Burnet
Brock University,ON,Shara Pavan
Brockport College,NY,Jolene Hasseler
Brown University,RI,Michaela Scanlon
Bucknell University,PA,Farra Phillips-Hillyard
Bucks County Community College,PA,Patricia Silcox
Butler University,IN,Dawn Stumm
"Cal Poly State University, San Luis Obispo",CA,Natalie Baker
California State Polytechnic University Pomona,CA,Marissa Shotwell-Tabke
"California State University, Fullerton",CA,Mercedes Hanson
California University of Pennsylvania,PA,Susan Malencia
Calvin College,MI,Kris McAfee
Campbell University,NC,Michelle Stephenson
Canisius College,NY,Judy West
Case Western Reserve University,OH,Allison Park
Castleton University,VT,Judy O'Rourke
Cazenovia College,NY,Amy Sherrick-von Schiller
Centenary College,NJ,Heather Clark
Central Connecticut State University,CT,Kayla Blanchette
Central Michigan University,MI,Melanie Blues
Central Washington University,WA,Tessa Churchill
Chapman University,CA,Jessica Bower
Chestnut Hill College,PA,Amanda Enwright
Christopher Newport University,VA,Ryann Winn
Claremont Colleges,CA,Mercedes Hanson
Clarion University Venango Campus,PA,Tammy Braham
Clark University,MA,Sarah Grogan
Clemson University,SC,Rebecca Shirley
Coastal Carolina University,SC,Kristina Crumlish
Colby Community College,KS,Shanda Mattix
Colby Sawyer College,NH,Pamela Payson
Colgate University,NY,Anna Hackney
College of Central Florida,FL,Judy Downer
College of Charleston,SC,Robert Story
College of the Holy Cross,MA,Frank Perla
College of the Sequoias,CA,Kim Pitigliano
College Of William And Mary,VA,Karen Greenwood
College Of Wooster,OH,Karla Forrer
Colorado College,CO,Tracey Powers
Colorado Northwestern Community College,CO,Miranda Morris
Colorado School of Mines,CO,Jennifer Duffy
Colorado State University,CO,Kathy Montgomery
Columbia University,NY,Penny Kinnally
Connecticut College,CT,Richard Luckhardt
Converse College,SC,Lincoln Russell
Cornell University,NY,Joanna Novakovic
Curry College,MA,Jennifer Sullivan
Dartmouth College,NH,Sally Batton
Delaware Valley University,PA,Cory Kieschnick
Denison University,OH,Claudia Hutchinson
DeSales University,PA,Alexis Wirth
Dickinson College,PA,Lindsay Vulich
Drew University,NJ,Karen Sykes
Drexel University,PA,Elizabeth Orem
Duke University,NC,Virginia Rollins
Duquesne University,PA,Linda Stevens
Earlham College,IN,Kellie Riggott
East Carolina University,NC,Caroline Jackson
